Date de la puissance max;Puissance max (VA)
16-03-2022;3238
15-03-2022;3804
14-03-2022;3745
13-03-2022;3698
12-03-2022;5451
11-03-2022;3999
10-03-2022;3903
09-03-2022;3991
08-03-2022;3467
07-03-2022;3989
06-03-2022;5622
05-03-2022;3658
04-03-2022;2392
03-03-2022;4592
02-03-2022;3743
01-03-2022;3561
28-02-2022;4741
27-02-2022;4448
26-02-2022;4952
25-02-2022;3627
24-02-2022;3883
23-02-2022;4284
22-02-2022;3008
21-02-2022;4512
20-02-2022;5101
19-02-2022;3712
18-02-2022;3831
17-02-2022;3894
16-02-2022;3073
15-02-2022;4981
14-02-2022;4241
13-02-2022;3772
12-02-2022;4122
11-02-2022;3984
10-02-2022;4377
09-02-2022;2807
08-02-2022;3511
07-02-2022;2968
06-02-2022;3432
05-02-2022;3226
04-02-2022;4959
03-02-2022;3728
02-02-2022;3420
01-02-2022;3592
31-01-2022;4349
30-01-2022;4248
29-01-2022;3944
28-01-2022;3886
27-01-2022;3656
26-01-2022;4748
25-01-2022;5703
24-01-2022;4514
23-01-2022;3875
22-01-2022;4327
21-01-2022;3852
20-01-2022;3891
19-01-2022;5786
18-01-2022;4439
17-01-2022;3014
16-01-2022;3710
15-01-2022;5385
14-01-2022;5782
13-01-2022;4672
12-01-2022;3533
11-01-2022;3452
10-01-2022;4399
08-01-2022;3944
07-01-2022;4341
06-01-2022;3687
05-01-2022;4987
04-01-2022;3590
03-01-2022;3609
02-01-2022;4594
01-01-2022;6237
31-12-2021;7257
30-12-2021;3300
29-12-2021;4540
28-12-2021;3659
27-12-2021;4672
26-12-2021;4485
25-12-2021;3994
24-12-2021;5706
23-12-2021;4183
22-12-2021;5132
21-12-2021;4006
20-12-2021;3637
19-12-2021;3985
18-12-2021;4451
17-12-2021;4308
16-12-2021;4547
15-12-2021;3628
14-12-2021;3980
13-12-2021;3607
12-12-2021;5102
11-12-2021;4551
10-12-2021;5504
09-12-2021;4011
08-12-2021;5247
07-12-2021;3259
06-12-2021;3148
05-12-2021;3718
04-12-2021;3494
03-12-2021;3522
02-12-2021;4361
01-12-2021;3971
30-11-2021;5691
29-11-2021;4136
28-11-2021;3752
27-11-2021;3584
26-11-2021;4253
25-11-2021;3360
24-11-2021;2824
23-11-2021;3656
22-11-2021;4051
21-11-2021;3015
20-11-2021;3122
19-11-2021;3400
18-11-2021;2994
17-11-2021;3398
16-11-2021;3168
15-11-2021;3512
14-11-2021;3313
13-11-2021;4664
12-11-2021;3391
11-11-2021;4169
10-11-2021;3456
09-11-2021;4946
08-11-2021;3738
07-11-2021;3612
06-11-2021;2977
05-11-2021;3392
04-11-2021;3855
03-11-2021;3753
02-11-2021;4789
01-11-2021;2960
31-10-2021;3192
30-10-2021;3435
29-10-2021;3626
28-10-2021;3339
27-10-2021;3228
26-10-2021;3135
25-10-2021;3854
24-10-2021;2821
23-10-2021;4661
22-10-2021;3443
21-10-2021;3141
20-10-2021;3673
19-10-2021;4684
18-10-2021;2987
17-10-2021;3570
16-10-2021;3223
15-10-2021;4741
14-10-2021;2010
13-10-2021;3211
12-10-2021;4484
11-10-2021;2721
10-10-2021;3018
09-10-2021;3595
08-10-2021;4233
07-10-2021;4606
06-10-2021;3206
05-10-2021;3749
04-10-2021;3412
03-10-2021;3930
